id,matchResult,map,teamA,teamAScore,teamB,teamBScore,teamAResult,teamBResult,matchWinner,matchLoser
314622,2:1,Icebox,Cloud9,7,Leviatán,13,W,L,Cloud9,Leviatán
314622,2:1,Sunset,Cloud9,13,Leviatán,7,L,W,Cloud9,Leviatán
314622,2:1,Ascent,Cloud9,18,Leviatán,16,W,L,Cloud9,Leviatán
314623,2:0,Breeze,NRG Esports,13,LOUD,10,W,L,NRG Esports,LOUD
314623,2:0,Sunset,NRG Esports,13,LOUD,2,L,W,NRG Esports,LOUD
314624,2:0,Lotus,G2 Esports,13,Evil Geniuses,8,L,W,G2 Esports,Evil Geniuses
314624,2:0,Icebox,G2 Esports,13,Evil Geniuses,3,L,W,G2 Esports,Evil Geniuses
314625,2:0,Icebox,Sentinels,13,100 Thieves,10,W,L,Sentinels,100 Thieves
314625,2:0,Split,Sentinels,13,100 Thieves,6,L,W,Sentinels,100 Thieves
314626,2:1,Lotus,KRÜ Esports,13,FURIA,7,L,W,KRÜ Esports,FURIA
314626,2:1,Icebox,KRÜ Esports,11,FURIA,13,L,W,KRÜ Esports,FURIA
314626,2:1,Breeze,KRÜ Esports,13,FURIA,7,L,W,KRÜ Esports,FURIA
314628,0:2,Bind,G2 Esports,9,100 Thieves,13,W,L,100 Thieves,G2 Esports
314628,0:2,Split,G2 Esports,8,100 Thieves,13,W,L,100 Thieves,G2 Esports
314629,0:2,Lotus,Sentinels,17,Leviatán,19,L,W,Leviatán,Sentinels
314629,0:2,Icebox,Sentinels,11,Leviatán,13,L,W,Leviatán,Sentinels
314630,2:0,Icebox,KRÜ Esports,13,MIBR,6,L,W,KRÜ Esports,MIBR
314630,2:0,Sunset,KRÜ Esports,13,MIBR,8,L,W,KRÜ Esports,MIBR
314631,2:0,Split,NRG Esports,13,FURIA,2,L,W,NRG Esports,FURIA
314631,2:0,Breeze,NRG Esports,13,FURIA,8,L,W,NRG Esports,FURIA
314632,2:1,Lotus,Cloud9,9,Evil Geniuses,13,W,L,Cloud9,Evil Geniuses
314632,2:1,Sunset,Cloud9,13,Evil Geniuses,8,L,W,Cloud9,Evil Geniuses
314632,2:1,Split,Cloud9,13,Evil Geniuses,4,L,W,Cloud9,Evil Geniuses
314634,2:0,Lotus,Sentinels,13,MIBR,3,L,W,Sentinels,MIBR
314634,2:0,Bind,Sentinels,13,MIBR,7,L,W,Sentinels,MIBR
314635,2:1,Bind,Cloud9,11,LOUD,13,L,W,Cloud9,LOUD
314635,2:1,Icebox,Cloud9,13,LOUD,4,L,W,Cloud9,LOUD
314635,2:1,Lotus,Cloud9,13,LOUD,9,L,W,Cloud9,LOUD
314636,2:0,Lotus,KRÜ Esports,13,Evil Geniuses,5,L,W,KRÜ Esports,Evil Geniuses
314636,2:0,Breeze,KRÜ Esports,13,Evil Geniuses,9,L,W,KRÜ Esports,Evil Geniuses
314637,0:2,Sunset,NRG Esports,4,Leviatán,13,W,L,Leviatán,NRG Esports
314637,0:2,Bind,NRG Esports,4,Leviatán,13,W,L,Leviatán,NRG Esports
314638,2:0,Lotus,G2 Esports,13,FURIA,3,L,W,G2 Esports,FURIA
314638,2:0,Icebox,G2 Esports,13,FURIA,3,L,W,G2 Esports,FURIA
314639,0:2,Bind,Cloud9,7,100 Thieves,13,W,L,100 Thieves,Cloud9
314639,0:2,Ascent,Cloud9,6,100 Thieves,13,W,L,100 Thieves,Cloud9
314640,1:2,Lotus,Sentinels,13,Evil Geniuses,10,W,L,Evil Geniuses,Sentinels
314640,1:2,Bind,Sentinels,11,Evil Geniuses,13,L,W,Evil Geniuses,Sentinels
314640,1:2,Sunset,Sentinels,10,Evil Geniuses,13,L,W,Evil Geniuses,Sentinels
314641,2:0,Split,NRG Esports,13,MIBR,9,L,W,NRG Esports,MIBR
314641,2:0,Breeze,NRG Esports,13,MIBR,3,L,W,NRG Esports,MIBR
314642,1:2,Breeze,G2 Esports,6,Leviatán,13,W,L,Leviatán,G2 Esports
314642,1:2,Icebox,G2 Esports,13,Leviatán,8,L,W,Leviatán,G2 Esports
314642,1:2,Lotus,G2 Esports,9,Leviatán,13,W,L,Leviatán,G2 Esports
314643,2:0,Split,KRÜ Esports,13,LOUD,8,L,W,KRÜ Esports,LOUD
314643,2:0,Ascent,KRÜ Esports,13,LOUD,8,L,W,KRÜ Esports,LOUD
314644,2:0,Icebox,G2 Esports,13,MIBR,9,L,W,G2 Esports,MIBR
314644,2:0,Bind,G2 Esports,13,MIBR,3,L,W,G2 Esports,MIBR
314645,0:2,Lotus,Sentinels,7,LOUD,13,W,L,LOUD,Sentinels
314645,0:2,Icebox,Sentinels,8,LOUD,13,W,L,LOUD,Sentinels
314646,2:1,Ascent,Cloud9,2,FURIA,13,W,L,Cloud9,FURIA
314646,2:1,Lotus,Cloud9,13,FURIA,3,L,W,Cloud9,FURIA
314646,2:1,Bind,Cloud9,13,FURIA,8,L,W,Cloud9,FURIA
314647,1:2,Ascent,NRG Esports,6,Evil Geniuses,13,W,L,Evil Geniuses,NRG Esports
314647,1:2,Lotus,NRG Esports,16,Evil Geniuses,14,W,L,Evil Geniuses,NRG Esports
314647,1:2,Sunset,NRG Esports,11,Evil Geniuses,13,L,W,Evil Geniuses,NRG Esports
314648,2:1,Sunset,KRÜ Esports,13,100 Thieves,7,L,W,KRÜ Esports,100 Thieves
314648,2:1,Breeze,KRÜ Esports,11,100 Thieves,13,L,W,KRÜ Esports,100 Thieves
314648,2:1,Split,KRÜ Esports,13,100 Thieves,8,L,W,KRÜ Esports,100 Thieves
