team,Group,Wins,Losses,Map Wins,Map Losses,Map Delta,Round Wins,Round Losses,Round Delta
All Gamers,omega,3,1,6,4,2,123,111,12
Bilibili Gaming,alpha,2,3,6,7,-1,130,140,-10
Dragon Ranger Gaming,alpha,3,2,8,6,2,147,146,1
EDward Gaming,alpha,3,1,7,3,4,115,84,31
FunPlus Phoenix,omega,4,0,8,2,6,117,80,37
JD Gaming,omega,0,4,3,8,-5,105,127,-22
Nova Esports,alpha,1,4,4,9,-5,126,154,-28
TYLOO,omega,1,3,4,7,-3,111,122,-11
Titan Esports Club,omega,2,2,5,6,-1,101,121,-20
Trace Esports,omega,3,1,6,3,3,106,85,21
Wolves Esports,alpha,2,3,5,7,-2,128,139,-11
