,Wins,Losses,Map Wins,Map Losses,Map Delta,id,Round Wins,Round Losses,Round Delta
BBL Esports,3,2,4,7,-3,3508199,121,106,15
FNATIC,3,2,4,7,-3,3508166,122,108,14
FUT Esports,3,1,3,7,-4,3189231,122,94,28
GIANTX,1,4,10,3,7,4146046,127,154,-27
Gentle Mates,2,2,5,3,2,2551390,74,80,-6
KOI,0,4,6,3,3,2870331,71,113,-42
Karmine Corp,3,3,8,8,0,5102813,175,160,15
Natus Vincere,3,1,4,7,-3,3508162,125,102,23
Team Heretics,3,2,7,5,2,3827110,136,125,11
Team Liquid,2,3,7,5,2,3827062,117,138,-21
Team Vitality,3,2,5,8,-3,4146030,133,143,-10
