id,matchResult,map,teamA,teamAScore,teamB,teamBScore
314301,1:2,Sunset,Global Esports,1,ZETA DIVISION,13
314301,1:2,Icebox,Global Esports,13,ZETA DIVISION,10
314301,1:2,Ascent,Global Esports,8,ZETA DIVISION,13
314302,0:2,Sunset,Team Secret,8,DRX,13
314302,0:2,Lotus,Team Secret,8,DRX,13
314303,1:2,Lotus,BLEED,13,Talon Esports,9
314303,1:2,Bind,BLEED,7,Talon Esports,13
314303,1:2,Icebox,BLEED,6,Talon Esports,13
314304,0:2,Lotus,T1,10,Paper Rex,13
314304,0:2,Bind,T1,12,Paper Rex,14
314305,1:2,Breeze,Team Secret,10,Rex Regum Qeon,13
314305,1:2,Split,Team Secret,13,Rex Regum Qeon,6
314305,1:2,Icebox,Team Secret,12,Rex Regum Qeon,14
314306,0:2,Ascent,Global Esports,8,DRX,13
314306,0:2,Lotus,Global Esports,6,DRX,13
314307,2:0,Lotus,Gen.G,13,Talon Esports,9
314307,2:0,Ascent,Gen.G,13,Talon Esports,8
314308,1:2,Ascent,T1,10,DetonatioN FocusMe,13
314308,1:2,Lotus,T1,13,DetonatioN FocusMe,5
314308,1:2,Sunset,T1,11,DetonatioN FocusMe,13
314309,1:2,Lotus,Gen.G,13,Paper Rex,11
314309,1:2,Icebox,Gen.G,11,Paper Rex,13
314309,1:2,Bind,Gen.G,6,Paper Rex,13
314310,1:2,Breeze,T1,13,DRX,9
314310,1:2,Split,T1,5,DRX,13
314310,1:2,Bind,T1,6,DRX,13
314311,2:1,Icebox,Team Secret,13,ZETA DIVISION,8
314311,2:1,Lotus,Team Secret,6,ZETA DIVISION,13
314311,2:1,Sunset,Team Secret,13,ZETA DIVISION,7
314312,0:2,Lotus,BLEED,2,Rex Regum Qeon,13
314312,0:2,Icebox,BLEED,5,Rex Regum Qeon,13
314313,2:0,Split,Gen.G,13,DetonatioN FocusMe,8
314313,2:0,Lotus,Gen.G,13,DetonatioN FocusMe,7
314314,1:2,Icebox,Global Esports,13,Talon Esports,4
314314,1:2,Breeze,Global Esports,12,Talon Esports,14
314314,1:2,Lotus,Global Esports,6,Talon Esports,13
314315,2:0,Ascent,T1,13,Rex Regum Qeon,6
314315,2:0,Lotus,T1,13,Rex Regum Qeon,8
314316,1:2,Sunset,BLEED,9,ZETA DIVISION,13
314316,1:2,Ascent,BLEED,13,ZETA DIVISION,9
314316,1:2,Lotus,BLEED,8,ZETA DIVISION,13
314317,1:2,Bind,Gen.G,10,DRX,13
314317,1:2,Ascent,Gen.G,13,DRX,9
314317,1:2,Split,Gen.G,7,DRX,13
314318,2:1,Lotus,BLEED,9,DetonatioN FocusMe,13
314318,2:1,Split,BLEED,13,DetonatioN FocusMe,7
314318,2:1,Ascent,BLEED,13,DetonatioN FocusMe,4
314319,2:0,Lotus,Global Esports,13,Rex Regum Qeon,10
314319,2:0,Icebox,Global Esports,13,Rex Regum Qeon,4
314320,2:0,Icebox,Team Secret,13,Paper Rex,9
314320,2:0,Sunset,Team Secret,13,Paper Rex,8
314321,0:2,Lotus,T1,11,Talon Esports,13
314321,0:2,Bind,T1,10,Talon Esports,13
314322,2:0,Split,Gen.G,13,ZETA DIVISION,8
314322,2:0,Ascent,Gen.G,14,ZETA DIVISION,12
314323,2:1,Lotus,Team Secret,13,DetonatioN FocusMe,4
314323,2:1,Breeze,Team Secret,9,DetonatioN FocusMe,13
314323,2:1,Sunset,Team Secret,13,DetonatioN FocusMe,2
314324,0:2,Sunset,Global Esports,4,Paper Rex,13
314324,0:2,Icebox,Global Esports,7,Paper Rex,13
314325,0:2,Ascent,BLEED,5,Paper Rex,13
314325,0:2,Bind,BLEED,6,Paper Rex,13
314326,2:1,Split,Global Esports,10,DetonatioN FocusMe,13
314326,2:1,Lotus,Global Esports,13,DetonatioN FocusMe,5
314326,2:1,Ascent,Global Esports,13,DetonatioN FocusMe,11
314327,2:1,Bind,T1,11,ZETA DIVISION,13
314327,2:1,Lotus,T1,13,ZETA DIVISION,9
314327,2:1,Sunset,T1,13,ZETA DIVISION,10
314328,1:2,Sunset,Team Secret,13,Talon Esports,11
314328,1:2,Lotus,Team Secret,11,Talon Esports,13
314328,1:2,Breeze,Team Secret,10,Talon Esports,13
314329,0:2,Bind,BLEED,9,DRX,13
314329,0:2,Breeze,BLEED,4,DRX,13
314330,1:2,Breeze,Gen.G,13,Rex Regum Qeon,3
314330,1:2,Ascent,Gen.G,11,Rex Regum Qeon,13
314330,1:2,Split,Gen.G,10,Rex Regum Qeon,13
